Organism	Name	Group	Condition	Description
Pseudomonas fluorescens FW300-N1B4	set3IT032	stress	Sodium acetate	acetate 20 mM
Pseudomonas fluorescens FW300-N1B4	set3IT041	stress	Sodium nitrate	nitrate 100 mM
Pseudomonas fluorescens FW300-N1B4	set3IT001	stress	Sodium nitrite	nitrite 10 mM
Pseudomonas fluorescens FW300-N1B4	set3IT040	stress	Sodium nitrite	nitrite 10 mM
Pseudomonas fluorescens FW300-N1B4	set3IT016	stress	Spectinomycin dihydrochloride pentahydrate	Spectinomycin 0.025 mg/ml
Pseudomonas fluorescens FW300-N1B4	set3IT017	stress	Spectinomycin dihydrochloride pentahydrate	Spectinomycin 0.05 mg/ml
Pseudomonas fluorescens FW300-N1B4	set3IT015	stress	Tetracycline hydrochloride	Tetracycline 0.0004 mg/ml
Pseudomonas fluorescens FW300-N1B4	set2IT038	stress	Thallium(I) acetate	Thallium(I) acetate 0.008 mg/ml
Pseudomonas fluorescens FW300-N1B4	set2IT042	stress	Thallium(I) acetate	Thallium(I) acetate 0.008 mg/ml
Pseudomonas fluorescens FW300-N1B4	set3IT005	stress	benzoic acid	benzoic 0.58 mg/ml
Pseudomonas fluorescens FW300-N1B4	set1IT039	stress	copper (II) chloride dihydrate	copper (II) chloride 2.5 mM
Pseudomonas fluorescens FW300-N1B4	set1IT045	stress	copper (II) chloride dihydrate	copper (II) chloride 2.5 mM
Pseudomonas fluorescens FW300-N1B4	set3IT022	stress	methylglyoxal	methylglyoxal 0.004 vol%
Pseudomonas fluorescens FW300-N1B4	set3IT023	stress	methylglyoxal	methylglyoxal 0.008 vol%
Pseudomonas fluorescens FW300-N1B4	set1IT040	stress	sodium fluoride	sodium fluoride 12.5 mM
Pseudomonas fluorescens FW300-N1B4	set1IT046	stress	sodium fluoride	sodium fluoride 12.5 mM
Pseudomonas fluorescens FW300-N2C3	set5IT059	stress	1-ethyl-3-methylimidazolium acetate	1-ethyl-3-methylimidazolium acetate 10 mM
Pseudomonas fluorescens FW300-N2C3	set5IT060	stress	1-ethyl-3-methylimidazolium acetate	1-ethyl-3-methylimidazolium acetate 20 mM
Pseudomonas fluorescens FW300-N2C3	set5IT058	stress	1-ethyl-3-methylimidazolium acetate	1-ethyl-3-methylimidazolium acetate 5 mM
Pseudomonas fluorescens FW300-N2C3	set5IT061	stress	1-ethyl-3-methylimidazolium chloride	1-ethyl-3-methylimidazolium chloride 200 mM
Pseudomonas fluorescens FW300-N2C3	set5IT057	stress	1-ethyl-3-methylimidazolium lysine	1-ethyl-3-methylimidazolium lysine 10 mM
Pseudomonas fluorescens FW300-N2C3	set4IT013	stress	Aluminum chloride hydrate	Aluminum chloride 5 mM
Pseudomonas fluorescens FW300-N2C3	set4IT017	stress	Bacitracin	Bacitracin 2 mg/ml
Pseudomonas fluorescens FW300-N2C3	set4IT011	stress	Benzalkonium Chloride	Benzalkonium Chloride 0.008 mg/ml
Pseudomonas fluorescens FW300-N2C3	set4IT012	stress	Benzalkonium Chloride	Benzalkonium Chloride 0.016 mg/ml
Pseudomonas fluorescens FW300-N2C3	set4IT010	stress	Benzethonium chloride	Benzethonium chloride 0.025 mM
Pseudomonas fluorescens FW300-N2C3	set5IT067	stress	Ceftazidime hydrate	Ceftazidime 0.2 mg/ml
Pseudomonas fluorescens FW300-N2C3	set5IT064	stress	Cephalothin sodium salt	Cephalothin 2 mg/ml
Pseudomonas fluorescens FW300-N2C3	set4IT026	stress	Chloramphenicol	Chloramphenicol 0.005 mg/ml
Pseudomonas fluorescens FW300-N2C3	set5IT054	stress	Cholin acetate	Cholin acetate 20 mM
Pseudomonas fluorescens FW300-N2C3	set5IT055	stress	Cholin acetate	Cholin acetate 40 mM
Pseudomonas fluorescens FW300-N2C3	set5IT052	stress	Choline chloride	Choline chloride 300 mM
Pseudomonas fluorescens FW300-N2C3	set5IT053	stress	Choline chloride	Choline chloride 500 mM
Pseudomonas fluorescens FW300-N2C3	set1IT045	stress	Cisplatin	Cisplatin 0.0032 mg/ml
Pseudomonas fluorescens FW300-N2C3	set2IT055	stress	Cisplatin	Cisplatin 0.0032 mg/ml
Pseudomonas fluorescens FW300-N2C3	set1IT039	stress	Cobalt chloride hexahydrate	Cobalt chloride 0.08 mM
Pseudomonas fluorescens FW300-N2C3	set1IT048	stress	Cobalt chloride hexahydrate	Cobalt chloride 0.08 mM
Pseudomonas fluorescens FW300-N2C3	set4IT021	stress	D-Cycloserine	D-Cycloserine 0.1 mg/ml
Pseudomonas fluorescens FW300-N2C3	set4IT022	stress	Doxycycline hyclate	Doxycycline hyclate 0.0001 mg/ml
Pseudomonas fluorescens FW300-N2C3	set4IT018	stress	Fusidic acid sodium salt	Fusidic 0.1 mg/ml
Pseudomonas fluorescens FW300-N2C3	set5IT065	stress	Lomefloxacin hydrochloride	Lomefloxacin 0.0005 mM
Pseudomonas fluorescens FW300-N2C3	set4IT031	stress	Nalidixic acid sodium salt	Nalidixic 0.004 mg/ml
Pseudomonas fluorescens FW300-N2C3	set1IT038	stress	Nickel (II) chloride hexahydrate	Nickel (II) chloride 0.625 mM
Pseudomonas fluorescens FW300-N2C3	set1IT047	stress	Nickel (II) chloride hexahydrate	Nickel (II) chloride 0.625 mM
Pseudomonas fluorescens FW300-N2C3	set1IT042	stress	Paraquat dichloride	Paraquat dichloride 0.0625 mg/ml
Pseudomonas fluorescens FW300-N2C3	set2IT052	stress	Paraquat dichloride	Paraquat dichloride 0.0625 mg/ml
Pseudomonas fluorescens FW300-N2C3	set4IT024	stress	Rifampicin	Rifampicin 0.0016 mg/ml
Pseudomonas fluorescens FW300-N2C3	set4IT025	stress	Rifampicin	Rifampicin 0.0024 mg/ml
Pseudomonas fluorescens FW300-N2C3	set4IT003	stress	Sisomicin sulfate salt	Sisomicin 0.001 mg/ml
Pseudomonas fluorescens FW300-N2C3	set4IT004	stress	Sodium Chlorite	Chlorite 0.04 mM
Pseudomonas fluorescens FW300-N2C3	set4IT005	stress	Sodium Chlorite	Chlorite 0.08 mM
Pseudomonas fluorescens FW300-N2C3	set5IT056	stress	Sodium acetate	acetate 40 mM
Pseudomonas fluorescens FW300-N2C3	set4IT002	stress	Sodium nitrate	nitrate 200 mM
Pseudomonas fluorescens FW300-N2C3	set4IT001	stress	Sodium nitrite	nitrite 10 mM
Pseudomonas fluorescens FW300-N2C3	set4IT006	stress	Sodium perchlorate monohydrate	perchlorate 75 mM
Pseudomonas fluorescens FW300-N2C3	set4IT028	stress	Spectinomycin dihydrochloride pentahydrate	Spectinomycin 0.0125 mg/ml
Pseudomonas fluorescens FW300-N2C3	set4IT029	stress	Spectinomycin dihydrochloride pentahydrate	Spectinomycin 0.025 mg/ml
Pseudomonas fluorescens FW300-N2C3	set4IT027	stress	Tetracycline hydrochloride	Tetracycline 0.0001 mg/ml
Pseudomonas fluorescens FW300-N2C3	set1IT043	stress	Thallium(I) acetate	Thallium(I) acetate 0.008 mg/ml
Pseudomonas fluorescens FW300-N2C3	set2IT053	stress	Thallium(I) acetate	Thallium(I) acetate 0.008 mg/ml
Pseudomonas fluorescens FW300-N2C3	set4IT041	stress	Vanillin	Vanillin 1.25 mM
Pseudomonas fluorescens FW300-N2C3	set4IT042	stress	Vanillin	Vanillin 2.5 mM
Pseudomonas fluorescens FW300-N2C3	set2IT050	stress	copper (II) chloride dihydrate	copper (II) chloride 2.5 mM
Pseudomonas fluorescens FW300-N2C3	set4IT039	stress	methylglyoxal	methylglyoxal 0.016 vol%
Pseudomonas fluorescens FW300-N2C3	set1IT041	stress	sodium fluoride	sodium fluoride 6.25 mM
Pseudomonas fluorescens FW300-N2C3	set4IT044	stress	syringaldehyde	syringaldehyde 10 mM
Pseudomonas fluorescens FW300-N2C3	set4IT043	stress	syringaldehyde	syringaldehyde 5 mM
Pseudomonas fluorescens FW300-N2E2	set3IT074	stress	5-Hydroxymethylfurfural	5-Hydroxymethylfurfural 10 mM
Pseudomonas fluorescens FW300-N2E2	set2IT041	stress	Aluminum chloride hydrate	Aluminum chloride 2 mM
Pseudomonas fluorescens FW300-N2E2	set2IT042	stress	Aluminum chloride hydrate	Aluminum chloride 4 mM
Pseudomonas fluorescens FW300-N2E2	set2IT040	stress	Benzalkonium Chloride	Benzalkonium Chloride 0.016 mg/ml
Pseudomonas fluorescens FW300-N2E2	set2IT039	stress	Benzethonium chloride	Benzethonium chloride 0.02 mM
Pseudomonas fluorescens FW300-N2E2	set3IT055	stress	Ceftazidime hydrate	Ceftazidime 0.15 mg/ml
Pseudomonas fluorescens FW300-N2E2	set3IT050	stress	Cephalothin sodium salt	Cephalothin 4 mg/ml
Pseudomonas fluorescens FW300-N2E2	set3IT062	stress	Chloramphenicol	Chloramphenicol 0.002 mg/ml
Pseudomonas fluorescens FW300-N2E2	set3IT063	stress	Chloramphenicol	Chloramphenicol 0.004 mg/ml
Pseudomonas fluorescens FW300-N2E2	set3IT064	stress	Chloramphenicol	Chloramphenicol 0.008 mg/ml
Pseudomonas fluorescens FW300-N2E2	set3IT080	stress	Choline Lysine	Choline Lysine 20 mM
Pseudomonas fluorescens FW300-N2E2	set1IT040	stress	Cisplatin	Cisplatin 0.008 mg/ml
Pseudomonas fluorescens FW300-N2E2	set1IT036	stress	Cobalt chloride hexahydrate	Cobalt chloride 0.16 mM
Pseudomonas fluorescens FW300-N2E2	set3IT053	stress	D-Cycloserine	D-Cycloserine 0.12 mg/ml
Pseudomonas fluorescens FW300-N2E2	set3IT075	stress	Dimethyl Sulfoxide	Dimethyl Sulfoxide 7.5 vol%
Pseudomonas fluorescens FW300-N2E2	set3IT054	stress	Doxycycline hyclate	Doxycycline hyclate 0.0001 mg/ml
Pseudomonas fluorescens FW300-N2E2	set7IT022	stress	Fusidic acid sodium salt	Fusidic 0.3 mg/ml
Pseudomonas fluorescens FW300-N2E2	set7IT023	stress	Fusidic acid sodium salt	Fusidic 0.4 mg/ml
Pseudomonas fluorescens FW300-N2E2	set3IT081	stress	L-Lysine	L-Lysine 25 mM
Pseudomonas fluorescens FW300-N2E2	set7IT025	stress	Lomefloxacin hydrochloride	Lomefloxacin 0.0002 mM
Pseudomonas fluorescens FW300-N2E2	set3IT051	stress	MreB Perturbing Compound A22	A22 0.002 mg/ml
Pseudomonas fluorescens FW300-N2E2	set3IT070	stress	Nalidixic acid sodium salt	Nalidixic 0.004 mg/ml
Pseudomonas fluorescens FW300-N2E2	set3IT071	stress	Nalidixic acid sodium salt	Nalidixic 0.008 mg/ml
Pseudomonas fluorescens FW300-N2E2	set7IT018	stress	Nickel (II) chloride hexahydrate	Nickel (II) chloride 0.5 mM
Pseudomonas fluorescens FW300-N2E2	set1IT035	stress	Nickel (II) chloride hexahydrate	Nickel (II) chloride 1 mM
Pseudomonas fluorescens FW300-N2E2	set1IT038	stress	Paraquat dichloride	Paraquat dichloride 0.03 mg/ml
Pseudomonas fluorescens FW300-N2E2	set2IT044	stress	Phosphomycin disodium salt	Phosphomycin 0.004 mg/ml
Pseudomonas fluorescens FW300-N2E2	set3IT061	stress	Rifampicin	Rifampicin 0.003 mg/ml
Pseudomonas fluorescens FW300-N2E2	set7IT028	stress	Sisomicin sulfate salt	Sisomicin 0.0016 mg/ml
Pseudomonas fluorescens FW300-N2E2	set7IT027	stress	Sisomicin sulfate salt	Sisomicin 0.0008 mg/ml
Pseudomonas fluorescens FW300-N2E2	set2IT037	stress	Sodium Chloride	Chloride 500 mM
Pseudomonas fluorescens FW300-N2E2	set7IT020	stress	Sodium Chloride	Chloride 500 mM
Pseudomonas fluorescens FW300-N2E2	set7IT021	stress	Sodium Chloride	Chloride 600 mM
Pseudomonas fluorescens FW300-N2E2	set1IT044	stress	Sodium Chlorite	Chlorite 0.08 mM
Pseudomonas fluorescens FW300-N2E2	set3IT079	stress	Sodium acetate	acetate 80 mM
Pseudomonas fluorescens FW300-N2E2	set1IT043	stress	Sodium nitrate	nitrate 200 mM
Pseudomonas fluorescens FW300-N2E2	set1IT042	stress	Sodium nitrite	nitrite 10 mM
Pseudomonas fluorescens FW300-N2E2	set3IT084	stress	Sodium perchlorate monohydrate	perchlorate 50 mM
Pseudomonas fluorescens FW300-N2E2	set7IT016	stress	Spectinomycin dihydrochloride pentahydrate	Spectinomycin 0.01 mg/ml
Pseudomonas fluorescens FW300-N2E2	set3IT067	stress	Spectinomycin dihydrochloride pentahydrate	Spectinomycin 0.0125 mg/ml
Pseudomonas fluorescens FW300-N2E2	set3IT065	stress	Tetracycline hydrochloride	Tetracycline 0.0001 mg/ml
Pseudomonas fluorescens FW300-N2E2	set3IT066	stress	Tetracycline hydrochloride	Tetracycline 0.0002 mg/ml
Pseudomonas fluorescens FW300-N2E2	set7IT013	stress	Tetracycline hydrochloride	Tetracycline 0.0002 mg/ml
Pseudomonas fluorescens FW300-N2E2	set7IT014	stress	Tetracycline hydrochloride	Tetracycline 0.0004 mg/ml
Pseudomonas fluorescens FW300-N2E2	set2IT048	stress	Vancomycin Hydrochloride Hydrate	Vancomycin 0.12 mg/ml
Pseudomonas fluorescens FW300-N2E2	set3IT049	stress	Vancomycin Hydrochloride Hydrate	Vancomycin 0.24 mg/ml
Pseudomonas fluorescens FW300-N2E2	set3IT083	stress	copper (II) chloride dihydrate	copper (II) chloride 3 mM
Pseudomonas fluorescens FW300-N2E2	set1IT037	stress	sodium fluoride	sodium fluoride 12.5 mM
Pseudomonas fluorescens FW300-N2E2	set7IT019	stress	sodium fluoride	sodium fluoride 15 mM
Pseudomonas fluorescens FW300-N2E3	set4IT075	stress	1-ethyl-3-methylimidazolium acetate	1-ethyl-3-methylimidazolium acetate 15 mM
Pseudomonas fluorescens FW300-N2E3	set4IT076	stress	1-ethyl-3-methylimidazolium acetate	1-ethyl-3-methylimidazolium acetate 20 mM
Pseudomonas fluorescens FW300-N2E3	set4IT077	stress	1-ethyl-3-methylimidazolium acetate	1-ethyl-3-methylimidazolium acetate 30 mM
Pseudomonas fluorescens FW300-N2E3	set4IT078	stress	1-ethyl-3-methylimidazolium chloride	1-ethyl-3-methylimidazolium chloride 170 mM
Pseudomonas fluorescens FW300-N2E3	set4IT074	stress	1-ethyl-3-methylimidazolium lysine	1-ethyl-3-methylimidazolium lysine 10.5 mM
Pseudomonas fluorescens FW300-N2E3	set4IT088	stress	Benzalkonium Chloride	Benzalkonium Chloride 0.01 mg/ml
Pseudomonas fluorescens FW300-N2E3	set4IT089	stress	Benzalkonium Chloride	Benzalkonium Chloride 0.012 mg/ml
Pseudomonas fluorescens FW300-N2E3	set3IT064	stress	Benzethonium chloride	Benzethonium chloride 0.025 mM
Pseudomonas fluorescens FW300-N2E3	set4IT087	stress	Ceftazidime hydrate	Ceftazidime 0.12 mg/ml
Pseudomonas fluorescens FW300-N2E3	set3IT078	stress	Chloramphenicol	Chloramphenicol 0.0025 mg/ml
Pseudomonas fluorescens FW300-N2E3	set3IT079	stress	Chloramphenicol	Chloramphenicol 0.004 mg/ml
Pseudomonas fluorescens FW300-N2E3	set4IT068	stress	Cholin acetate	Cholin acetate 10 mM
Pseudomonas fluorescens FW300-N2E3	set4IT069	stress	Cholin acetate	Cholin acetate 19 mM
Pseudomonas fluorescens FW300-N2E3	set4IT070	stress	Cholin acetate	Cholin acetate 38 mM
Pseudomonas fluorescens FW300-N2E3	set4IT079	stress	Choline Lysine	Choline Lysine 12 mM
Pseudomonas fluorescens FW300-N2E3	set4IT066	stress	Choline chloride	Choline chloride 268.5 mM
Pseudomonas fluorescens FW300-N2E3	set4IT067	stress	Choline chloride	Choline chloride 358 mM
Pseudomonas fluorescens FW300-N2E3	set2IT005	stress	Cisplatin	Cisplatin 0.006 mg/ml
Pseudomonas fluorescens FW300-N2E3	set2IT010	stress	Cisplatin	Cisplatin 0.006 mg/ml
Pseudomonas fluorescens FW300-N2E3	set1IT084	stress	Cobalt chloride hexahydrate	Cobalt chloride 0.16 mM
Pseudomonas fluorescens FW300-N2E3	set1IT091	stress	Cobalt chloride hexahydrate	Cobalt chloride 0.16 mM
Pseudomonas fluorescens FW300-N2E3	set1IT085	stress	Cobalt chloride hexahydrate	Cobalt chloride 0.32 mM
Pseudomonas fluorescens FW300-N2E3	set1IT092	stress	Cobalt chloride hexahydrate	Cobalt chloride 0.32 mM
Pseudomonas fluorescens FW300-N2E3	set3IT094	stress	D-Cycloserine	D-Cycloserine 0.1 mg/ml
Pseudomonas fluorescens FW300-N2E3	set3IT072	stress	Dimethyl Sulfoxide	Dimethyl Sulfoxide 7.5 vol%
Pseudomonas fluorescens FW300-N2E3	set4IT085	stress	Doxycycline hyclate	Doxycycline hyclate 0.0002 mg/ml
Pseudomonas fluorescens FW300-N2E3	set4IT086	stress	Doxycycline hyclate	Doxycycline hyclate 0.0006 mg/ml
Pseudomonas fluorescens FW300-N2E3	set4IT055	stress	Furfuryl Alcohol	Furfuryl Alcohol 0.0625 vol%
Pseudomonas fluorescens FW300-N2E3	set4IT056	stress	Furfuryl Alcohol	Furfuryl Alcohol 0.125 vol%
Pseudomonas fluorescens FW300-N2E3	set4IT057	stress	Furfuryl Alcohol	Furfuryl Alcohol 0.25 vol%
Pseudomonas fluorescens FW300-N2E3	set3IT070	stress	Fusidic acid sodium salt	Fusidic 0.125 mg/ml
Pseudomonas fluorescens FW300-N2E3	set4IT082	stress	Gentamicin sulfate salt	Gentamicin 0.006 mg/ml
Pseudomonas fluorescens FW300-N2E3	set3IT093	stress	Lomefloxacin hydrochloride	Lomefloxacin 0.001 mM
Pseudomonas fluorescens FW300-N2E3	set3IT090	stress	MreB Perturbing Compound A22	A22 0.002 mg/ml
Pseudomonas fluorescens FW300-N2E3	set3IT092	stress	MreB Perturbing Compound A22	A22 0.01 mg/ml
Pseudomonas fluorescens FW300-N2E3	set4IT081	stress	Nalidixic acid sodium salt	Nalidixic 0.004 mg/ml
Pseudomonas fluorescens FW300-N2E3	set1IT083	stress	Nickel (II) chloride hexahydrate	Nickel (II) chloride 0.625 mM
Pseudomonas fluorescens FW300-N2E3	set1IT090	stress	Nickel (II) chloride hexahydrate	Nickel (II) chloride 0.625 mM
Pseudomonas fluorescens FW300-N2E3	set1IT089	stress	Paraquat dichloride	Paraquat dichloride 0.032 mg/mL
Pseudomonas fluorescens FW300-N2E3	set3IT061	stress	Polymyxin B sulfate	Polymyxin B sulfate 4 mg/ml
Pseudomonas fluorescens FW300-N2E3	set3IT085	stress	Rifampicin	Rifampicin 0.005 mg/ml
Pseudomonas fluorescens FW300-N2E3	set3IT058	stress	Sisomicin sulfate salt	Sisomicin 0.008 mg/ml
Pseudomonas fluorescens FW300-N2E3	set3IT062	stress	Sodium Chloride	Chloride 500 mM
Pseudomonas fluorescens FW300-N2E3	set3IT059	stress	Sodium Chlorite	Chlorite 0.16 mM
Pseudomonas fluorescens FW300-N2E3	set4IT071	stress	Sodium acetate	acetate 17 mM
Pseudomonas fluorescens FW300-N2E3	set4IT072	stress	Sodium acetate	acetate 34 mM
Pseudomonas fluorescens FW300-N2E3	set4IT073	stress	Sodium acetate	acetate 68 mM
Pseudomonas fluorescens FW300-N2E3	set3IT057	stress	Sodium nitrate	nitrate 200 mM
Pseudomonas fluorescens FW300-N2E3	set3IT056	stress	Sodium nitrite	nitrite 10 mM
Pseudomonas fluorescens FW300-N2E3	set3IT060	stress	Sodium perchlorate monohydrate	perchlorate 75 mM
Pseudomonas fluorescens FW300-N2E3	set3IT082	stress	Spectinomycin dihydrochloride pentahydrate	Spectinomycin 0.1 mg/ml
Pseudomonas fluorescens FW300-N2E3	set3IT083	stress	Spectinomycin dihydrochloride pentahydrate	Spectinomycin 0.15 mg/ml
Pseudomonas fluorescens FW300-N2E3	set3IT084	stress	Spectinomycin dihydrochloride pentahydrate	Spectinomycin 0.2 mg/ml
Pseudomonas fluorescens FW300-N2E3	set3IT081	stress	Tetracycline hydrochloride	Tetracycline 0.0016 mg/ml
Pseudomonas fluorescens FW300-N2E3	set3IT080	stress	Tetracycline hydrochloride	Tetracycline 0.0008 mg/ml
Pseudomonas fluorescens FW300-N2E3	set2IT003	stress	Thallium(I) acetate	Thallium(I) acetate 0.008 mg/ml
Pseudomonas fluorescens FW300-N2E3	set2IT008	stress	Thallium(I) acetate	Thallium(I) acetate 0.008 mg/ml
Pseudomonas fluorescens FW300-N2E3	set2IT004	stress	Thallium(I) acetate	Thallium(I) acetate 0.016 mg/ml
Pseudomonas fluorescens FW300-N2E3	set2IT009	stress	Thallium(I) acetate	Thallium(I) acetate 0.016 mg/ml
Pseudomonas fluorescens FW300-N2E3	set3IT087	stress	Vancomycin Hydrochloride Hydrate	Vancomycin 1 mg/ml
Pseudomonas fluorescens FW300-N2E3	set4IT054	stress	Vanillin	Vanillin 1.25 mM
Pseudomonas fluorescens FW300-N2E3	set3IT066	stress	benzoic acid	benzoic 0.58 mg/ml
Pseudomonas fluorescens FW300-N2E3	set1IT086	stress	copper (II) chloride dihydrate	copper (II) chloride 2.5 mM
Pseudomonas fluorescens FW300-N2E3	set1IT093	stress	copper (II) chloride dihydrate	copper (II) chloride 2.5 mM
Pseudomonas fluorescens FW300-N2E3	set3IT096	stress	methylglyoxal	methylglyoxal 0.008 vol%
Pseudomonas fluorescens FW300-N2E3	set4IT051	stress	methylglyoxal	methylglyoxal 0.009 vol%
Pseudomonas fluorescens FW300-N2E3	set1IT087	stress	sodium fluoride	sodium fluoride 6.25 mM
Pseudomonas fluorescens FW300-N2E3	set4IT059	stress	syringaldehyde	syringaldehyde 5 mM
Pseudomonas fluorescens GW456-L13	set2IT089	stress	Aluminum chloride hydrate	Aluminum chloride 2.5 mM
Pseudomonas fluorescens GW456-L13	set2IT090	stress	Aluminum chloride hydrate	Aluminum chloride 5 mM
Pseudomonas fluorescens GW456-L13	set3IT050	stress	Bacitracin	Bacitracin 0.5 mg/ml
Pseudomonas fluorescens GW456-L13	set3IT051	stress	Bacitracin	Bacitracin 1 mg/ml
Pseudomonas fluorescens GW456-L13	set2IT088	stress	Benzethonium chloride	Benzethonium chloride 0.0125 mM
Pseudomonas fluorescens GW456-L13	set3IT059	stress	Cephalothin sodium salt	Cephalothin 3 mg/ml
Pseudomonas fluorescens GW456-L13	set1IT042	stress	Cisplatin	Cisplatin 0.0125 mg/ml
Pseudomonas fluorescens GW456-L13	set1IT036	stress	Cobalt chloride hexahydrate	Cobalt chloride 0.16 mM
Pseudomonas fluorescens GW456-L13	set3IT064	stress	D-Cycloserine	D-Cycloserine 0.125 mg/ml
Pseudomonas fluorescens GW456-L13	set3IT055	stress	Dimethyl Sulfoxide	Dimethyl Sulfoxide 7.5 vol%
Pseudomonas fluorescens GW456-L13	set3IT052	stress	Fusidic acid sodium salt	Fusidic 0.03 mg/ml
Pseudomonas fluorescens GW456-L13	set3IT053	stress	Fusidic acid sodium salt	Fusidic 0.08 mg/ml
Pseudomonas fluorescens GW456-L13	set3IT063	stress	Lomefloxacin hydrochloride	Lomefloxacin 0.0004 mM
Pseudomonas fluorescens GW456-L13	set3IT062	stress	MreB Perturbing Compound A22	A22 0.04 mg/ml
Pseudomonas fluorescens GW456-L13	set1IT035	stress	Nickel (II) chloride hexahydrate	Nickel (II) chloride 1 mM
Pseudomonas fluorescens GW456-L13	set1IT038	stress	Paraquat dichloride	Paraquat dichloride 0.032 mg/ml
Pseudomonas fluorescens GW456-L13	set2IT086	stress	Sodium Chloride	Chloride 400 mM
Pseudomonas fluorescens GW456-L13	set2IT085	stress	Sodium nitrate	nitrate 200 mM
Pseudomonas fluorescens GW456-L13	set2IT084	stress	Sodium nitrite	nitrite 10 mM
Pseudomonas fluorescens GW456-L13	set2IT083	stress	Sodium nitrite	nitrite 5 mM
Pseudomonas fluorescens GW456-L13	set1IT039	stress	Thallium(I) acetate	Thallium(I) acetate 0.002 mg/ml
Pseudomonas fluorescens GW456-L13	set1IT040	stress	Thallium(I) acetate	Thallium(I) acetate 0.004 mg/ml
Pseudomonas fluorescens GW456-L13	set1IT041	stress	Thallium(I) acetate	Thallium(I) acetate 0.008 mg/ml
Pseudomonas fluorescens GW456-L13	set3IT056	stress	Vancomycin Hydrochloride Hydrate	Vancomycin 0.125 mg/ml
Pseudomonas fluorescens GW456-L13	set3IT057	stress	Vancomycin Hydrochloride Hydrate	Vancomycin 0.25 mg/ml
Pseudomonas fluorescens GW456-L13	set3IT058	stress	Vancomycin Hydrochloride Hydrate	Vancomycin 0.5 mg/ml
Pseudomonas fluorescens GW456-L13	set1IT043	stress	Zinc sulfate heptahydrate	Zinc 1 mM
Pseudomonas fluorescens GW456-L13	set1IT037	stress	sodium fluoride	sodium fluoride 12.5 mM
Pseudomonas simiae WCS417	set4IT061	stress	1-ethyl-3-methylimidazolium acetate	1-ethyl-3-methylimidazolium acetate 35 mM
Pseudomonas simiae WCS417	set4IT063	stress	1-ethyl-3-methylimidazolium chloride	1-ethyl-3-methylimidazolium chloride 200 mM
Pseudomonas simiae WCS417	set3IT044	stress	2-Furfuraldehyde	2-Furfuraldehyde 0.03 vol%
Pseudomonas simiae WCS417	set3IT045	stress	2-Furfuraldehyde	2-Furfuraldehyde 0.06 vol%
Pseudomonas simiae WCS417	set4IT075	stress	Aluminum chloride hydrate	Aluminum chloride 4 mM
Pseudomonas simiae WCS417	set4IT079	stress	Bacitracin	Bacitracin 1 mg/ml
Pseudomonas simiae WCS417	set4IT080	stress	Bacitracin	Bacitracin 2 mg/ml
Pseudomonas simiae WCS417	set1IT013	stress	Benzalkonium Chloride	Benzalkonium Chloride 0.012 mg/ml
Pseudomonas simiae WCS417	set3IT033	stress	Chloramphenicol	Chloramphenicol 0.0075 mg/ml
Pseudomonas simiae WCS417	set3IT034	stress	Chloramphenicol	Chloramphenicol 0.015 mg/ml
Pseudomonas simiae WCS417	set4IT064	stress	Choline Lysine	Choline Lysine 25 mM
Pseudomonas simiae WCS417	set4IT055	stress	Choline chloride	Choline chloride 300 mM
Pseudomonas simiae WCS417	set4IT074	stress	Cisplatin	Cisplatin 0.01 mg/ml
Pseudomonas simiae WCS417	set1IT002	stress	Cobalt chloride hexahydrate	Cobalt chloride 0.16 mM
Pseudomonas simiae WCS417	set1IT015	stress	Dimethyl Sulfoxide	Dimethyl Sulfoxide 4 vol%
Pseudomonas simiae WCS417	set4IT053	stress	Dimethyl Sulfoxide	Dimethyl Sulfoxide 5 vol%
Pseudomonas simiae WCS417	set4IT095	stress	Doxycycline hyclate	Doxycycline hyclate 0.001 mg/ml
Pseudomonas simiae WCS417	set3IT040	stress	Gentamicin sulfate salt	Gentamicin 0.008 mg/ml
Pseudomonas simiae WCS417	set4IT065	stress	L-Lysine	L-Lysine 60 mM
Pseudomonas simiae WCS417	set4IT082	stress	Lomefloxacin hydrochloride	Lomefloxacin 0.0001 mM
Pseudomonas simiae WCS417	set1IT018	stress	MreB Perturbing Compound A22	A22 0.16 mg/ml
Pseudomonas simiae WCS417	set3IT038	stress	Nalidixic acid sodium salt	Nalidixic 0.015 mg/ml
Pseudomonas simiae WCS417	set3IT039	stress	Nalidixic acid sodium salt	Nalidixic 0.025 mg/ml
Pseudomonas simiae WCS417	set1IT020	stress	Neomycin trisulfate salt hydrate	Neomycin 0.04 mg/ml
Pseudomonas simiae WCS417	set1IT001	stress	Nickel (II) chloride hexahydrate	Nickel (II) chloride 1 mM
Pseudomonas simiae WCS417	set4IT071	stress	Paraquat dichloride	Paraquat dichloride 0.002 mg/ml
Pseudomonas simiae WCS417	set4IT073	stress	Paraquat dichloride	Paraquat dichloride 0.008 mg/ml
Pseudomonas simiae WCS417	set4IT076	stress	Phosphomycin disodium salt	Phosphomycin 0.001 mg/ml
Pseudomonas simiae WCS417	set4IT077	stress	Phosphomycin disodium salt	Phosphomycin 0.002 mg/ml
Pseudomonas simiae WCS417	set4IT078	stress	Phosphomycin disodium salt	Phosphomycin 0.003 mg/ml
